SNo,Date,Country,RegionCode,RegionName,Latitude,Longitude,HospitalizedPatients,IntensiveCarePatients,TotalHospitalizedPatients,HomeConfinement,CurrentPositiveCases,NewPositiveCases,Recovered,Deaths,TotalPositiveCases,TestsPerformed,Recovery Rate,Death Rate
228,3/5/2020 17:00,ITA,10,Umbria,43.10675841,12.38824698,1,1,2,7,9,0,0,0,9,88,0,0
249,3/6/2020 17:00,ITA,10,Umbria,43.10675841,12.38824698,2,2,4,12,16,7,0,0,16,110,0,0
270,3/7/2020 18:00,ITA,10,Umbria,43.10675841,12.38824698,2,2,4,20,24,8,0,0,24,134,0,0
291,3/8/2020 18:00,ITA,10,Umbria,43.10675841,12.38824698,2,2,4,22,26,2,0,0,26,168,0,0
312,3/9/2020 18:00,ITA,10,Umbria,43.10675841,12.38824698,4,2,6,22,28,2,0,0,28,183,0,0
333,3/10/2020 18:00,ITA,10,Umbria,43.10675841,12.38824698,8,2,10,27,37,9,0,0,37,260,0,0
354,3/11/2020 17:00,ITA,10,Umbria,43.10675841,12.38824698,7,5,12,32,44,7,2,0,46,340,2,0
375,3/12/2020 17:00,ITA,10,Umbria,43.10675841,12.38824698,8,8,16,46,62,18,2,0,64,458,0,0
396,3/13/2020 17:00,ITA,10,Umbria,43.10675841,12.38824698,11,10,21,52,73,11,2,1,76,576,0,1
417,3/14/2020 17:00,ITA,10,Umbria,43.10675841,12.38824698,21,11,32,71,103,30,3,1,107,748,1,0
438,3/15/2020 17:00,ITA,10,Umbria,43.10675841,12.38824698,25,13,38,101,139,36,3,1,143,965,0,0
459,3/16/2020 17:00,ITA,10,Umbria,43.10675841,12.38824698,30,15,45,114,159,20,4,1,164,1093,1,0
480,3/17/2020 17:00,ITA,10,Umbria,43.10675841,12.38824698,36,21,57,135,192,33,4,1,197,1323,0,0
501,3/18/2020 17:00,ITA,10,Umbria,43.10675841,12.38824698,54,21,75,166,241,49,4,2,247,1601,0,1
522,3/19/2020 17:00,ITA,10,Umbria,43.10675841,12.38824698,69,21,90,238,328,87,4,2,334,1954,0,0
543,3/20/2020 17:00,ITA,10,Umbria,43.10675841,12.38824698,75,24,99,285,384,56,4,7,395,2303,0,5
19,2/24/2020 18:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,7,0,0
40,2/25/2020 18:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,7,0,0
61,2/26/2020 18:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,7,0,0
82,2/27/2020 18:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,9,0,0
103,2/28/2020 18:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,9,0,0
124,2/29/2020 17:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,9,0,0
145,3/1/2020 17:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,10,0,0
166,3/2/2020 18:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,11,0,0
187,3/3/2020 18:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,12,0,0
208,3/4/2020 17:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,15,0,0
229,3/5/2020 17:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,2,2,2,0,0,2,21,0,0
250,3/6/2020 17:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,7,7,5,0,0,7,28,0,0
271,3/7/2020 18:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,1,0,1,7,8,1,0,0,8,32,0,0
292,3/8/2020 18:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,1,0,1,8,9,1,0,0,9,41,0,0
313,3/9/2020 18:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,4,0,4,11,15,6,0,0,15,67,0,0
334,3/10/2020 18:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,2,0,2,15,17,2,0,0,17,89,0,0
355,3/11/2020 17:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,2,0,2,17,19,2,0,1,20,99,0,1
376,3/12/2020 17:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,7,0,7,19,26,7,0,1,27,118,0,0
397,3/13/2020 17:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,6,0,6,21,27,1,0,1,28,189,0,0
418,3/14/2020 17:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,12,0,12,29,41,14,0,1,42,231,0,0
439,3/15/2020 17:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,10,3,13,43,56,15,0,1,57,230,0,0
460,3/16/2020 17:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,28,5,33,70,103,47,0,2,105,287,0,1
481,3/17/2020 17:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,35,6,41,93,134,31,0,2,136,398,0,0
502,3/18/2020 17:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,41,3,44,118,162,28,0,3,165,486,0,1
523,3/19/2020 17:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,47,9,56,153,209,47,0,6,215,608,0,3
544,3/20/2020 17:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,54,9,63,194,257,48,0,7,264,814,0,1
20,2/24/2020 18:00,ITA,5,Veneto,45.43490485,12.33845213,12,4,16,16,32,32,0,1,33,2200,0,0
41,2/25/2020 18:00,ITA,5,Veneto,45.43490485,12.33845213,12,7,19,23,42,10,0,1,43,3780,0,0
62,2/26/2020 18:00,ITA,5,Veneto,45.43490485,12.33845213,16,8,24,45,69,27,0,2,71,4900,0,1
83,2/27/2020 18:00,ITA,5,Veneto,45.43490485,12.33845213,19,8,27,82,109,40,0,2,111,6164,0,0
104,2/28/2020 18:00,ITA,5,Veneto,45.43490485,12.33845213,24,9,33,116,149,40,0,2,151,7414,0,0
125,2/29/2020 17:00,ITA,5,Veneto,45.43490485,12.33845213,24,11,35,154,189,40,0,2,191,8659,0,0
146,3/1/2020 17:00,ITA,5,Veneto,45.43490485,12.33845213,51,13,64,197,261,72,0,2,263,9056,0,0
167,3/2/2020 18:00,ITA,5,Veneto,45.43490485,12.33845213,53,14,67,204,271,10,0,2,273,9782,0,0
188,3/3/2020 18:00,ITA,5,Veneto,45.43490485,12.33845213,49,19,68,229,297,26,7,3,307,10176,7,1
209,3/4/2020 17:00,ITA,5,Veneto,45.43490485,12.33845213,76,23,99,246,345,48,9,6,360,10515,2,3
230,3/5/2020 17:00,ITA,5,Veneto,45.43490485,12.33845213,92,24,116,264,380,35,17,10,407,11949,8,4
251,3/6/2020 17:00,ITA,5,Veneto,45.43490485,12.33845213,117,27,144,310,454,74,22,12,488,13023,5,2
272,3/7/2020 18:00,ITA,5,Veneto,45.43490485,12.33845213,123,41,164,341,505,51,25,13,543,14429,3,1
293,3/8/2020 18:00,ITA,5,Veneto,45.43490485,12.33845213,146,47,193,430,623,118,29,18,670,15918,4,5
314,3/9/2020 18:00,ITA,5,Veneto,45.43490485,12.33845213,186,51,237,457,694,71,30,20,744,15956,1,2
335,3/10/2020 18:00,ITA,5,Veneto,45.43490485,12.33845213,204,67,271,512,783,89,47,26,856,16643,17,6
356,3/11/2020 17:00,ITA,5,Veneto,45.43490485,12.33845213,262,68,330,610,940,157,54,29,1023,21400,7,3
377,3/12/2020 17:00,ITA,5,Veneto,45.43490485,12.33845213,360,85,445,852,1297,357,55,32,1384,23438,1,3
398,3/13/2020 17:00,ITA,5,Veneto,45.43490485,12.33845213,366,107,473,980,1453,156,100,42,1595,25691,45,10
419,3/14/2020 17:00,ITA,5,Veneto,45.43490485,12.33845213,366,119,485,1290,1775,322,107,55,1937,26980,7,13
440,3/15/2020 17:00,ITA,5,Veneto,45.43490485,12.33845213,426,129,555,1434,1989,214,120,63,2172,32546,13,8
461,3/16/2020 17:00,ITA,5,Veneto,45.43490485,12.33845213,498,156,654,1620,2274,285,130,69,2473,35052,10,6
482,3/17/2020 17:00,ITA,5,Veneto,45.43490485,12.33845213,548,171,719,1769,2488,214,136,80,2704,35478,6,11
503,3/18/2020 17:00,ITA,5,Veneto,45.43490485,12.33845213,646,195,841,2112,2953,465,167,94,3214,40841,31,14
524,3/19/2020 17:00,ITA,5,Veneto,45.43490485,12.33845213,771,209,980,2189,3169,216,200,115,3484,44658,33,21
545,3/20/2020 17:00,ITA,5,Veneto,45.43490485,12.33845213,843,236,1079,2598,3677,508,223,131,4031,49288,23,16
